school_id,cn_name,en_name,tags,faculty,school,category,entry_month,duration,tuition,interview,objectives,apply_requirements,language_requirements,analysis,curriculum,url,degree
,高级护理实践硕士,Master of Advanced Nursing Practice,"社科, 医学, 健康科学学院",健康科学学院,悉尼大学,医学,2月,1.5年,48900澳元/年,无,悉尼大学高级护理实践硕士项目旨在向护理实践和临床环境研究的主要研究人员学习，巩固护理实践的理论基础。学生还将发展学生的信心，利用最新的研究为基础的证据，以指导学生的临床决策。在这一年半的学位课程中，学生将以通过临床实践获得的知识为基础，重点是提供高质量的护理和患者安全。完成本课程后，学生将拥有制定医疗保健计划所需的知识、技能和属性，并为医疗保健政策和发展做出重大贡献。,"- 具有悉尼大学颁发的预注册护理学位或同等学历，取得平均学分；或
- 具有悉尼大学颁发的该学科嵌入的研究生证书或文凭或同等学历；和
- 为澳大利亚或海外的注册护士。",雅思: 7; 托福: 96,无,评估和临床判断 Assessment and Clinical Judgement; 临床实践基础 Foundations of Clinical Practice; 拓展临床护理实践 Expanding Clinical Nursing Practice; 护理与保健研究 Research in Nursing and Health Care; 护理实践探索 Exploring Nursing Practice; 预防不良临床结果 Preventing Adverse Clinical Outcomes; 创造安全和质量文化 Creating a Culture of Safety and Quality,https://www.sydney.edu.au/courses/courses/pc/master-of-advanced-nursing-practice.html,
,统计学硕士,Master of Statistics,"理科, 数学, 商学院",商学院,澳大利亚国立大学,数学,2/7月,2年,53700澳元/年,无,澳大利亚国立大学统计学硕士项目帮助任何专业的学生专注于统计学领域的学习，为学生提供严格的核心统计学应用与理论培训。通过澳大利亚国立大学统计学硕士项目的学习，学生能够成为受欢迎的统计学家。澳大利亚国立大学统计学硕士项目毕业的学生能够胜任统计学领域的任何工作，主要掌握的技能有以下几方面: 运用统计学计算机技能解决以定量与数据为基础的问题；理解运用统计学理论；通过运行和解释涉及动态波动或趋势的时间序列模型来分析复杂问题；使用适当的方法分析和解读各种背景下的数据；独立收集、处理、解读和传达应用统计学中基础研究问题的结果。,"申请者必须满足以下其中一项：
- 具有学士学位或同等学历，GPA不低于5.0/7.0，具备至少1门数学领域课程学习背景（必须涵盖微积分和线性代数）；或
- 具有澳大利亚国立大学金融和精算统计研究生证书（统计学方向），GPA达到4.5，具备至少1门数学领域课程学习背景（必须涵盖微积分和线性代数）。",雅思: 6.5; 托福: 80,该项目重视展示统计计算技能，用于定量和基于数据的问题解决。学生将理解并能够应用：多元线性回归，调查设计；数理统计，随机建模，广义线性建模技术；数据表示，总结和演示的原则；多元统计技术；参数和非参数统计的作用和概念。该项目学生能够通过运行和解释涉及动态波动性和/或趋势的时间序列模型来分析复杂问题；能够使用适当的方法分析和解释各种情况下的数据；能够独立和协作地收集、处理、解释和交流应用统计学基础研究问题的结果。就业服务：澳国立大学的统计学硕士毕业生可在各个行业就业，包括金融、医疗保健、教育、政府和咨询等领域。统计学专业的技能和知识在各个行业都是重要的，毕业生可以通过数据分析和预测为企业和组织提供有价值的决策支持。在金融行业，统计学专业的毕业生可以在银行、保险公司和投资机构等机构从事风险评估、投资分析和交易战略等工作。而在医疗保健领域，他们可以参与临床试验的设计与分析，为医疗政策的制定提供统计依据。政府和咨询行业也是统计学专业毕业生的热门就业方向。他们可以在政府部门从事数据收集、统计报告和政策分析等工作；同时也可以在咨询公司为客户提供数据驱动的解决方案和决策支持。招生特点：本科学历或国际同等学历，平均绩点不低于5.0/7.0，至少有一门课程涉及微积分和线性代数。澳大利亚国立大学金融与精算统计研究生证书（统计学专业）要求，平均绩点4.5，至少有一门数学课程必须涵盖微积分和线性代数。排名和英语语言能力要求：所有申请者必须满足项目特定的学术/非学术要求，以及英语语言要求。大多数ANU项目的录取都是在竞争的基础上进行的。因此，满足所有入学要求并不能自动保证入学。根据大学的招生政策和战略计划，入学评估可能包括根据具体的学术成绩、英语水平和多样性因素对申请人进行竞争性排名。申请人将首先根据GPA（“GPA1”）进行排名，GPA是用除最后一个学期（或同等学历）以外的所有用于入学目的的学士学位计算的。,回归建模 Regression Modelling; 数理统计原理 Principles of Mathematical Statistics; 随机过程导论 Introduction to Stochastic Processes; 贝叶斯数据分析导论 Introduction to Bayesian Data Analysis; 图形数据分析 Graphical Data Analysis; 线性代数概况 Generalised Linear Models; 统计学习 Statistical Learning,https://programsandcourses.anu.edu.au/2025/program/MSTAT,
,分子生物学广泛研究硕士（1.5年制）,Master of Molecular Biology Research Extensive (1.5 Years),"理科, 生物, 理学院",理学院,昆士兰大学,生物,2/7月,1.5年,50560澳元/年,无,如今，在学术和产业中，对拥有分子生物学经验的人的需求很大。这种经验可以应用于开展“采煤工作”等研究的地方，或者应用于需要相关技术和方法知识的管理、行政和宣传领域。昆士兰大学分子生物学广泛研究硕士（1.5年制）项目旨在为那些想提高自己在分子生物学、蛋白质技术和生物信息学核心领域的技能和研究技能的科学家提供机会，并给他们比现有三个学期的分子生物学硕士项目更多的沉浸在实验室中的机会。该项目也为相应的博士项目做了很好的准备。,"如果申请者具备相关的先前学习或经验，可以减少需要完成的课程数量并在更短的时间内毕业
- 具有荣誉学士学位（或同等学历），需要相关学科背景（见下文）
在先前的学历中GPA达到5.5/7或同等水平
相关学科包括生物技术、科学、医学、生物医学科学、药学、生物信息学、遗传学、分子生物学、生物化学和生物化工",雅思: 6.5; 托福: 87,无,生物信息学概念 Concepts in Bioinformatics; 分子生物学实验室导论 Introduction to the Molecular Biology Laboratory; 高级分子生物学实验室 Advanced Molecular Biology Laboratory; 高级蛋白质技术 Advanced Protein Technology; 分子遗传学定向研究 Directed Studies in Molecular Genetics; 生物分子结构功能定向研究 Directed Studies in Biomolecular Structure & Function; 分子生物学文献综述A Literature Review in Molecular Biology A,https://study.uq.edu.au/study-options/programs/master-molecular-biology-research-extensive-5625,
,商学硕士（精算学）,Master of Commerce (Actuarial Science),"商科, 金工金数, 墨尔本商学院",墨尔本商学院,墨尔本大学,金工金数,3月,1.5年,79790澳元/年,无,墨尔本大学商学硕士（精算学）项目主要为已经获得精算学位并且希望继续深造的学生提供保险定量方法、退休金和财务风险建模领域的精算理论与实践教学，期间成绩优异者将获得澳大利亚精算协会精算师考试部分科目的免考权。墨尔本大学商学硕士（精算学）项目分实践型与研究型两个方向，选择前者的学生将会获得高级职业训练，而后者将会为学生继续深造精算研究博士打下良好的基础。,"具有已完成的本科或研究生学位或同等学历，需要精算科学（或类似）背景，WAM至少达到75%或同等水平
需要提交GRE（除非申请者已经在澳大利亚或新西兰完成本科学位或者符合GRE豁免的批准条件之一）",雅思: 6.5; 托福: 79,无,金融数学III Mathematics of Finance III; 保险风险模型 Insurance Risk Models; 精算实务与控制I Actuarial Practice And Control I; 金融数值方法 Numerical Techniques in Finance; 金融数学IV Mathematics of Finance IV; 精算实务与控制II Actuarial Practice and Control II; 保险风险模型II Insurance Risk Models II,https://study.unimelb.edu.au/find/courses/graduate/master-of-commerce-actuarial-science/,
,时尚硕士（设计）,Master of Fashion (Design),"社科, 艺术, 时尚与纺织学院",时尚与纺织学院,皇家墨尔本理工大学,艺术,2月,2年,42720澳元/年,无,"通过时尚硕士（设计），您将定义您在时尚界的地位，并通过公开展示的创新作品向行业推销您的作品。

我们寻求想象未来的商业环境，创造道德设计主张，并使用跨学科的设计策略来推动全球和竞争激烈的时装设计实践。
您将为您的设计实践建立时尚服装，产品，配饰，物品，人工制品，材料，空间和身体体验的设计，沟通和演示方法和策略。
该课程致力于通过课程推进您的设计实践，为您提供创建专业主张的策略，并针对商业市场的特定领域，研究方向和跨学科实践。您将选择选修课，使您能够定制您的学习，最终完成收藏、设计项目、研究调查或行业安置。

您将以实践，开发和研究的组合结束这一年，以在全球行业中开始您的职业生涯。此外，您将与学术人员和行业专家合作制作数字出版物，在全球范围内展示您的毕业生成果。

该学位拥有出色的记录，学生和毕业生赢得了主要的时装设计奖项和奖学金，并收到参加国家和国际展示活动的邀请，包括：

国际羊毛标志奖
澳大利亚时尚基金会（AUSFF）奖
维珍澳大利亚航空墨尔本时装节（VAMFF）全国毕业生展示会
梅赛德斯-奔驰澳大利亚时装周 （MBFWA） 圣乔治下一代展示
MPavilion时装设计大师展示。","申请者必须已成功完成澳大利亚3年制学士学位（或同等学历），需要时尚设计背景，总体GPA至少达到2.0/4.0
成功完成RMIT以下课程的学生不需要完成selection task文档：
- 1年制时尚（设计）（荣誉）学士（BH127）
- 3年制时尚（设计）学士（BP328），总体GPA至少达到2.0/4.0
- 4年制时尚（设计）（荣誉）学士（BH103）
所有其他申请着都需要提交完成的selection task文档",雅思: 6.5; 托福: 79,无,"先进的时尚材料、技巧和表现形式 Advanced Fashion Materials, Techniques and Expressions; 时尚形象 Fashion Image; 时装秀设计 Fashion Show Design; 新时尚主张 New Fashion Propositions; 时尚实践研究策略 Fashion Practice Research Strategies; 高级时装设计项目 Advanced Fashion Design Project; 时尚和纺织行业安置项目 Fashion and Textile Industry Placement Project",https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fashion-design-mc246,
,技术治理硕士,Master of Technology Governance,"社科, 其他社科, 亚洲及太平洋学院",亚洲及太平洋学院,澳大利亚国立大学,其他社科,1/7月,1.5年,50820澳元/年,无,"科技已经改变了人们的日常生活——在商业、政府、家庭和工作方面，尽管数字和物理技术的快速发展充满了希望，但它也带来了风险，要使数字化转型和创新的效益最大化，就需要新一代的领导者在公共、私营和非营利部门开展工作。
澳大利亚国立大学技术治理硕士是一个前瞻性的学位，旨在解决这些新的、紧迫的社会挑战，使学生具备分析和实践技能，以评估和负责任地管理关键、颠覆性和新兴技术（如人工智能、生物技术、金融科技和监管科技）带来的的机会和危险。该课程包括概念课程和应用课程，为评估和设计商业、数字身份、食品系统、政府服务、司法、公共卫生和安全等领域的最佳实践提供了许多机会。
澳大利亚国立大学技术治理硕士课程由世界知名的监管与全球治理学院（RegNet）的专家授课，是一个丰富的跨学科培训经历，学生将学习如何将循证监管框架与前沿研究相结合，分析现实世界的问题，通过整合不同的学科和观点，毕业生在评估和应对现在和未来产生共鸣的复杂问题方面具备独特的优势。",申请者必须满足以下其中一项：具有学士学位或同等学历，GPA达到5/7；或具有学士学位或同等学历，GPA达到4/7，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或具有学士学位或同等学历，GPA达到4/7，并且具有研究生证书或同等学历，GPA达到4/7；或具有研究生文凭或同等学历，GPA达到4/7；或在研究生课程中修满48个学分，GPA达到4/7；或具有研究生证书或同等学历，GPA达到4/7，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或GRE成绩Verbal Reasoning部分达到155，Quantitative Reasoning部分达到155，Analytical Writing达到4.0，并且在与申请专业相关的领域具备相当于至少3年的ANZSCO技能1级的全职工作经验；或在与申请专业相关的领域具备相当于至少10年的ANZSCO技能1级的全职工作经验。相关学科包括：人类学、亚洲研究、应用数据研究、犯罪学、控制论、发展研究、国际关系、法律、太平洋研究、政治学、政策研究、心理学、安全研究、社会学,雅思: 6.5; 托福: 80,无,"技术治理中的当代问题 Contemporary Issues in Technology Governance; 监管颠覆性技术 Regulating Disruptive Technologies; 公司、权力、法规 Corporations, Power, Regulation; 监管的政策与实践 Policy and Practice of Regulation; 跨学科研究方法 Methods in Interdisciplinary Research; 治理与社会理论 Governance and Social Theory; 复杂与不确定世界中的治理 Governance in a Complex and Uncertain World",https://programsandcourses.anu.edu.au/2025/program/MTEGO,
,生物医学科学硕士（感染与免疫）,Master of Biomedical Science (Infection and Immunity),"社科, 医学, 健康科学学院",健康科学学院,悉尼大学,医学,2/8月,1年,58800澳元/年,无,悉尼大学生物医学科学硕士（感染与免疫）的目的是满足研究和生物医学行业迅速增长的毕业生需求。学生将接受最先进的临床实验室技术培训，以为学生在生物医学领域的职业生涯做好准备。,"- 具有荣誉学士学位，需要科学、医学或兽医科学、生物医学科学、健康科学或与健康相关学科背景，或具有学院认为同等的学历；或
- 具有学士学位以及研究生学位，需要科学、医学或兽医科学、生物医学科学、健康科学或与健康相关学科背景，每个学位的加权平均分不低于65；或
- 具有学士学位，需要科学、医学或兽医科学、生物医学科学、健康科学或与健康相关学科背景，加权平均分不低于65，并具备至少24个月的相关工作经验；或
- 完成嵌入的研究生证书或研究生文凭，且任一学位的平均成绩至少为 65%。",雅思: 7; 托福: 96,无,临床检验科学 Clinical Laboratory Science; 免疫学原理 Principles in Immunology; 高等医学细菌学 Advanced Medical Bacteriology; 顶石工程 Capstone Project; 病毒学与细胞技术 Virology and Cell Technology; 临床免疫学与免疫治疗 Clinical Immunology and Immunotherapy; 高级性传播感染 Advanced STIs,https://www.sydney.edu.au/courses/courses/pc/master-of-biomedical-science-infection-and-immunity.html,
,分子生物学广泛研究硕士（2年制）,Master of Molecular Biology Research Extensive (2 Years),"理科, 生物, 理学院",理学院,昆士兰大学,生物,2/7月,2年,50560澳元/年,无,分子生物学主要研究基因的结构和功能以及其所编译的蛋白质，包括基因组排序、DNA重组技术和大分子结构测定。昆士兰大学分子生物学广泛研究硕士（2年制）项目通过讲座、研习班、拓展项目和定向研究等形式提供了分子生物学领域的先进理论和实践训练。通过学习该项目，学生将学习分子生物学的研究方法论，并有机会进行个人研究。,"- 具有学士学位（或同等学历），需要相关学科背景（见下文）
在先前的学历中GPA达到5.5/7或同等水平
相关学科包括生物技术、科学、医学、生物医学科学、药学、生物信息学、遗传学、分子生物学、生物化学和生物化工",雅思: 6.5; 托福: 87,无,生物信息学概念 Concepts in Bioinformatics; 分子生物学实验室导论 Introduction to the Molecular Biology Laboratory; 高级分子生物学实验室 Advanced Molecular Biology Laboratory; 高级蛋白质技术 Advanced Protein Technology; 分子遗传学定向研究 Directed Studies in Molecular Genetics; 生物分子结构功能定向研究 Directed Studies in Biomolecular Structure & Function; 分子生物学文献综述A Literature Review in Molecular Biology A,https://study.uq.edu.au/study-options/programs/master-molecular-biology-research-extensive-5625,
,美术硕士,Master of Fine Art,"社科, 艺术, 艺术学院",艺术学院,皇家墨尔本理工大学,艺术,2/7月,2年,41280澳元/年,无,"该学位旨在帮助那些希望专注于工作的新兴艺术实践，以及那些寻求扩展和扩展现有实践的人。
美术硕士的结构允许充足的实验空间。您将受到专业艺术家，表演者，作家，历史学家和策展人的学术人员的指导和挑战，以探索多种媒体，概念工具和技术，并将您的注意力缩小到您想要创作的核心和交流作为艺术家。","申请者必须已成功完成澳大利亚学士学位（或同等学历）
学校也可能考虑具备至少5年相关工作经验、工作室实践或专业实践的申请者
为了让专业经验得到考虑，申请者必须在申请中附上一份简历和一份详细说明其经验的个人陈述
需要完成Selection task文档，需要作品集",雅思: 6.5; 托福: 79,无,美术工作室 Fine Art Studio; 关键框架 Critical Frameworks; 创造性研究的策略 Strategies for Creative Research; 创作实践语言 Language of Creative Practice; 专业创意实践 Professional Creative Practice; 艺术全球强化课程 Art Global Intensive; 摄影全球密集课程 Photography Global Intensive,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-fine-art-mc266,
,金融学硕士,Master of Finance,"商科, 金融, 墨尔本商学院",墨尔本商学院,墨尔本大学,金融,3/7月,1.5年,85390澳元/年,无,墨尔本大学的金融学硕士项目主要针对有意从事金融行业或者本科主修金融相关领域的学生，具体包括资本预算、股息政策、企业风险管理、风险资产定价和固定资产定价模型。通过学习，学生将了解金融管理的相关知识和公司金融的一些实际应用。学生还会对澳大利亚和国际金融市场的衍生资产和这些资产是如何在市场上进行操作有所了解，并能熟练运用专业的金融行业所需具备的技能。,"具有本科学位或同等学历，主修金融学或金融相关专业 ，包含以下背景：
- 财务会计（ACCT10002）或同等课程；
- 公司金融（FNCE20005）或同等课程；
- 投资学（FNCE30001）或同等课程；
- 衍生证券（FNCE30007）或同等课程。
需要提交GMAT 或GRE（除非申请者已经在澳大利亚或新西兰完成本科学位或者符合GMAT或GRE豁免的批准条件之一）
如果申请者已经满足了金融硕士课程的所有要求（衍生证券课程除外），申请者可能会获得有条件录取（需要在课程开始前完成衍生证券课程的在线强化版本）
如果申请者之前没有金融专业的学位，则不满足该学位的入学资格，学校鼓励其考虑Master of Management (Finance)",雅思: 7; 托福: 94,无,金融经济学 Economics of Finance; 金融定量分析I Quantitative Analysis of Finance I; 决策会计学 Accounting for Decision Making; 项目融资 Project Finance; 金融电子表格 Financial Spreadsheeting; 衍生证券 Derivative Securities; 金融市场与工具 Financial Markets and Instruments,https://study.unimelb.edu.au/find/courses/graduate/master-of-finance/,
,农业创新理学硕士（高级）,MSc (Advanced) Agricultural Innovation,"社科, 其他社科, 科学与医学学院",科学与医学学院,澳大利亚国立大学,其他社科,2/7月,2年,53700澳元/年,无,澳大利亚国立大学农业创新理学硕士（高级）项目旨在培养学生能够综合运用环境管理、计算机科学、生物等知识解决农业中遇到的难题。,"具有学士学位或同等学历
- GPA不低于5.5/7.0
- 具备至少8门相关学科课程的学习背景，并且GPA不低于5.5/7.0
相关学科包括：农学、生物学、环境科学、自然资源管理、工程（普通）、应用计算机科学、贸易与商业",雅思: 6.5; 托福: 80,无,"农业系统 Agricultural Systems; 可持续农业系统 Sustainable Agricultural Systems; 农业创新 Agricultural Innovation; 工程可持续系统 Engineering Sustainable Systems; 生物学1：进化论、生态学和遗传学 Biology 1: Evolution, Ecology and Genetics; 基因学 Genetics; 生物安全 Biosecurity",https://programsandcourses.anu.edu.au/2025/program/VSCAI,
,职业健康与安全科学硕士,Master of Occupational Health and Safety Science,"社科, 其他社科, 理学院",理学院,昆士兰大学,其他社科,2/7月,1.5年,47200澳元/年,无,昆士兰大学职业发展与安全科学硕士项目旨在强化学生的理论知识、实际应用能力与职业素养，使学生具备在职业健康与安全行业开展事业的能力。昆士兰大学职业发展与安全科学硕士项目得到了澳大利亚职业健康安全教育认证委员会的认证，核心课程包括职业卫生，工效学，职业健康，安全科学与风险管理，主要探讨现有的包括化学、物理、机械、生物与社会心理学方面的危害。昆士兰大学职业发展与安全科学硕士项目规定学生完成行业相关研究，成功毕业的学生会有机会成为澳大利亚安全研究所的成员，并获得职业认证。,"- 具有学士学位（或同等学历），需要科学、工程或健康科学背景，包含至少2门大学一年级水平科学课程的学习背景，涵盖人体解剖学、人体生理学、有机化学、无机化学和/或物理学
在先前的学历中GPA达到4.0/7或同等水平",雅思: 6.5; 托福: 87,无,职业健康与安全法 Occupational Health & Safety Law; 职业健康与安全 Occupational Health and Safety; 职业安全科学 Occupational Safety Science; 职业卫生 Occupational Hygiene; 职业健康 Occupational Health; 职业健康与安全管理系统 Occupational Health & Safety Management Systems; 风险管理 Risk Management,https://study.uq.edu.au/study-options/programs/master-occupational-health-and-safety-science-5558,
,职业健康与安全硕士,Master of Occupational Health and Safety,"社科, 公共卫生, 房地产、建筑与项目管理学院",房地产、建筑与项目管理学院,皇家墨尔本理工大学,公共卫生,2/7月,2年,45600澳元/年,无,"在职业健康与安全硕士（OHS）中，您将探索科学原理的应用，以了解工作场所人员安全的风险，以及控制这些风险所需的行动。

它是一个多学科的专业，适用于所有行业和商业。
社区期望和政府立法都要求越来越高地保护员工和社区免受威胁其安全和健康的风险。因此，社会对具有职业健康安全经验和资格的专业人员的需求也越来越大。

您还将有机会追求研究流，让您加深知识并在市场竞争中脱颖而出。它还将支持您晋升为高级管理或咨询角色。

围绕混合交付而设计，该学位将推动您在灵活的学习环境中发展新技能。","申请者必须已成功完成澳大利亚学士学位（或同等学历）
学校也可能考虑在相关行业具备8年专业工作经验或高级水平的专业经验少于8年的申请者
为了让专业经验得到考虑，申请者必须在申请中附上一份简历和一份详细说明其经验的个人陈述",雅思: 6.5; 托福: 79,无,工作健康与安全的原则与实践 Principles and Practice of Work Health and Safety; 工作健康与安全科学 Work Health and Safety Science; 工作健康与安全法律制度 Work Health and Safety Legal Systems; 人为因素和职业人体工程学 Human Factors and Occupational Ergonomics; 职业危害与控制 Occupational Hazards and Control; 社会心理工作环境 The Psychosocial Work Environment; 组织安全 Organisational Safety,https://www.rmit.edu.au/study-with-us/levels-of-study/postgraduate-study/masters-by-coursework/master-of-occupational-health-and-safety-mc282,
,大脑与思维科学硕士,Master of Brain and Mind Sciences,"社科, 医学, 医学院",医学院,悉尼大学,医学,2月,1年,58800澳元/年,无,悉尼大学大脑与精神科学硕士项目为想从事科学、医疗、护理、精神病学和心理学行业的未来一代提供重点教育与培训，以满足患有大脑与精神疾病病人的需求。项目将推动跨学科研究，鼓励学生探究大脑与精神领域的疾病，也会利用大脑与精神中心的资源优势以促进学生专业与临床技能的发展。悉尼大学大脑与精神科学硕士项目的主干课程有利于帮助学生深入了解基础神经科学与临床应用及干预措施之间的联系。同时，项目注重转化研究，能为学生提供大脑与精神科学学科的广泛应用和优化研究成果的合作机会。项目的选修课程与研究论文能够为学生提供包含最新科研方法学习在内的高标准专业培训，给予学生在高级研究家的指导下接触前沿科研设备的机会。悉尼大学大脑与精神科学硕士项目的毕业生通常从事全科医学、临床心理学或精神病学方面的工作，也会进入工业（科学组织，生物技术行业，制药公司）或者高校基础部门成为一名通识科学家。,"- 已完成悉尼大学颁发的该学科嵌入的研究生证书或研究生文凭或同等学历，但未从悉尼大学毕业；或
- 具有悉尼大学颁发的学士学位或同等学历，需要相关学科背景。和
- 在面试中表现令人满意。",雅思: 6.5; 托福: 85,无,基础神经科学 Fundamental Neuroscience; 转录与临床神经科学 Translational and Clinical Neuroscience; 大脑与精神障碍 Brain and Mind Disorders; 神经心理药物学 Neuropsychopharmacology; 认知行为治疗 Cognitive Behaviour Therapy; 神经心理学 Neuropsychology; 大脑老化 Brain Ageing,https://www.sydney.edu.au/courses/courses/pc/master-of-brain-and-mind-sciences.html,
,金融学硕士（强化）,Master of Finance (Enhanced),"商科, 金融, 墨尔本商学院",墨尔本商学院,墨尔本大学,金融,3/7月,2年,64042澳元/年,无,墨尔本大学金融学硕士（强化）旨在为学生提供专业技术知识，为其在不断发展的金融领域的职业生涯做准备，同时也为学生提供充分利用选修和交换的学生经验的机会。,"具有本科学位或同等学历，主修金融学或金融相关专业 ，包含以下背景：
- 财务会计（ACCT10002）或同等课程；
- 公司金融（FNCE20005）或同等课程；
- 投资学（FNCE30001）或同等课程；
- 衍生证券（FNCE30007）或同等课程。
需要提交GMAT 或GRE（除非申请者已经在澳大利亚或新西兰完成本科学位或者符合GMAT或GRE豁免的批准条件之一）
如果申请者已经满足了金融硕士课程的所有要求（衍生证券课程除外），申请者可能会获得有条件录取（需要在课程开始前完成衍生证券课程的在线强化版本）
如果申请者之前没有金融专业的学位，则不满足该学位的入学资格，学校鼓励其考虑Master of Management (Finance)",雅思: 7; 托福: 94,墨尔本大学金融学硕士（强化）旨在为毕业生提供：一个实用的、面向职业发展的课程，让学生掌握对金融市场运作和活动的详细了解，对金融管理原则的理解及其在金融政策中的应用，对澳大利亚及国际金融市场的全面理解，对各种资产类别及其市场运作的全面知识，对金融行业特殊领域的应用知识。就业服务：毕业生主要在投资、银行业、公司咨询、财务分析等领域工作。招生特点：相关学科本科或同等学历，例如会计学、公司金融学、投资学、金融衍生品或其他相关专业；需要GMAT/GRE；PS不超过500字。,金融定量分析 I Quantitative Analysis of Finance I; 金融经济学 Economics of Finance; 财务报表分析 Financial Statement Analysis; 金融市场与工具 Financial Markets and Instruments; 公司重组与估值 Corporate Restructuring and Valuation; 金融科技：基础与应用 Fintech: Foundations and Applications; 应用投资管理 Applied Investment Management,https://study.unimelb.edu.au/find/courses/graduate/master-of-finance-enhanced/,
